,10분 최다 강수량(mm),1시간 최다강수량(mm),break_summer,break_winter,cloud,cloud_w,date_fri,date_mon,date_sat,date_sun,date_thur,date_tue,date_wed,fall,humid,humid_w,m_free,m_paid,m_total,rain,spring,summer,temp,temp_w,tp_adult,tp_child,tp_foreigner,tp_free,tp_group,tp_paid,tp_teen,tp_total,when,wind,wind_w,winter,zb_adult,zb_child,zb_foreigner,zb_free,zb_paid,zb_teen,zb_total,강수 계속시간(hr),일강수량(mm)
0,0.0,0.0,0,1,2.1,1.0,0,0,0,0,0,0,1,0,51.3,3.0,6602,2353,8955,0.0,0,0,,2.0,0,0,0,17,16,12,4,33,2014-01-01,3.7,2.0,1,203,105,4233,1481,3504,526,5714,0.03,0.0
1,0.0,0.0,0,1,0.3,1.0,0,0,0,0,1,0,0,0,35.4,2.0,2740,1505,4245,0.0,0,0,,1.0,0,0,0,17,31,26,5,48,2014-01-02,2.0,1.0,1,95,28,1281,1246,968,141,2450,0.0,0.0
2,0.0,0.0,0,1,4.6,2.0,1,0,0,0,0,0,0,0,54.4,4.0,2998,1611,4609,0.0,0,0,,1.0,0,0,0,14,14,11,3,28,2014-01-03,2.5,1.0,1,113,80,1387,1194,1034,204,2545,0.0,0.0
3,0.0,0.0,0,1,0.9,1.0,0,0,1,0,0,0,0,0,47.1,3.0,7559,3379,10938,0.0,0,0,,1.0,3,0,0,47,67,51,13,114,2014-01-04,2.4,1.0,1,150,80,4134,2472,3352,591,6565,0.0,0.0
4,0.0,0.0,0,1,2.1,1.0,0,0,0,1,0,0,0,0,48.4,3.0,7533,3182,10715,0.0,0,0,,1.0,0,2,0,27,72,64,8,99,2014-01-05,1.9,1.0,1,195,94,4279,2255,3552,532,6534,0.0,0.0
5,0.0,0.0,0,1,3.1,2.0,0,1,0,0,0,0,0,0,50.4,3.0,2167,1310,3477,0.0,0,0,,1.0,1,0,0,17,9,6,2,26,2014-01-06,1.6,1.0,1,75,23,837,1029,658,104,1866,0.0,0.0
6,0.0,0.0,0,1,8.5,3.0,0,0,0,0,0,1,0,0,56.0,4.0,2226,1423,3649,0.0,0,0,,1.0,0,0,0,19,8,5,3,27,2014-01-07,1.7,1.0,1,68,19,828,1177,616,104,1965,0.33,0.0
7,0.0,0.0,0,1,7.4,3.0,0,0,0,0,0,0,1,0,56.6,4.0,2024,1044,3068,0.0,0,0,,1.0,0,1,0,3,1,1,0,4,2014-01-08,3.3,2.0,1,48,26,1557,938,596,314,1896,1.42,0.0
8,0.0,0.0,0,1,0.0,1.0,0,0,0,0,1,0,0,0,26.3,1.0,876,599,1475,0.0,0,0,,1.0,0,0,0,1,0,0,0,1,2014-01-09,3.6,2.0,1,44,15,268,559,203,21,827,0.0,0.0
9,0.0,0.0,0,1,3.1,2.0,1,0,0,0,0,0,0,0,48.6,3.0,911,608,1519,0.0,0,0,,1.0,0,0,0,3,3,3,0,6,2014-01-10,2.0,1.0,1,26,13,239,486,183,30,725,1.43,0.0
10,0.0,0.0,0,1,4.5,2.0,0,0,1,0,0,0,0,0,44.1,3.0,4355,2070,6425,0.0,0,0,,1.0,0,0,0,30,36,32,4,66,2014-01-11,1.9,1.0,1,139,42,2267,1638,1800,268,3845,0.0,0.0
