,m_paid,m_free,m_total,zb_paid,zb_adult,zb_foreigner,zb_teen,zb_child,zb_free,zb_total,tp_group,tp_paid,tp_adult,tp_teen,tp_child,tp_foreigner,tp_free,tp_total,temp,date_fri,date_thur,date_wed,date_mon,date_sun,date_sat,date_tue,fall,spring,summer,winter,break_summer,break_winter,when,temp,rain,wind,humid,cloud,강수 계속시간(hr),10분 최다 강수량(mm),1시간 최다강수량(mm),일강수량(mm),cloud_w,temp_w,humid_w,wind_w
0,38,0,38,0,299,6073,0.0,5110,452,5562,2893,149,1021,0,411,4474,299,10,1.0,1,0,0,0,0,0,0,0,0,0,1,0,1,2010-01-01,-7.6,0.0,1.9,48.0,3.8,0.0,0.0,0.0,0.0,2,1,3,1
1,83,0,83,2,490,2530,0.0,3790,1051,4841,1880,148,502,0,1000,3530,488,16,1.0,0,0,0,0,0,1,0,0,0,0,1,0,1,2010-01-02,-3.6,1.4,2.8,76.4,6.0,6.57,0.0,0.0,1.4,3,1,5,1
2,69,0,69,2,433,2535,0.0,3715,1087,4802,1856,134,435,4,1025,3450,431,12,1.0,0,0,0,0,1,0,0,0,0,0,1,0,1,2010-01-03,-6.8,0.0,2.2,49.3,2.6,0.0,0.0,0.0,0.0,1,1,3,1
3,0,0,0,2,12,248,0.0,193,278,471,165,11,2,0,274,452,10,0,1.0,0,0,0,1,0,0,0,0,0,0,1,0,1,2010-01-04,-5.9,14.2,3.0,84.1,7.5,13.03,0.0,0.0,14.2,3,1,5,2
4,0,0,0,4,29,7302,0.0,3779,431,4210,1927,19,1796,0,425,4167,25,0,1.0,0,0,0,0,0,0,1,0,0,0,1,0,1,2010-01-05,-9.9,0.0,2.9,66.4,2.1,0.95,0.0,0.0,0.0,1,1,5,1
5,4,0,4,0,31,216,0.0,199,475,674,107,7,44,2,475,633,31,0,1.0,0,0,1,0,0,0,0,0,0,0,1,0,1,2010-01-06,-11.2,0.0,1.9,65.5,1.3,0.0,0.0,0.0,0.0,1,1,5,1
6,2,0,2,2,12,131,0.0,176,411,587,87,15,29,0,409,540,10,0,1.0,0,1,0,0,0,0,0,0,0,0,1,0,1,2010-01-07,-10.1,0.0,1.7,66.8,0.0,0.0,0.0,0.0,0.0,1,1,5,1
7,9,0,9,0,38,270,0.0,399,472,871,173,53,44,0,469,739,38,1,1.0,1,0,0,0,0,0,0,0,0,0,1,0,1,2010-01-08,-8.0,0.0,1.7,67.4,1.4,0.0,0.0,0.0,0.0,1,1,5,1
8,50,0,50,4,250,1327,0.0,1984,1088,3072,975,83,269,1,1054,2381,246,2,1.0,0,0,0,0,0,1,0,0,0,0,1,0,1,2010-01-09,-5.1,0.4,1.5,75.8,7.8,3.92,0.0,0.0,0.4,3,1,5,1
9,93,0,93,9,435,2381,0.0,3584,1269,4853,1808,113,460,8,1206,3587,426,3,1.0,0,0,0,0,1,0,0,0,0,0,1,0,1,2010-01-10,-3.4,0.0,1.7,79.1,4.1,0.0,0.0,0.0,0.0,2,1,5,1
