,m_paid,m_free,m_total,m_foreigner,zb_paid,zb_adult,zb_teen,zb_child,zb_foreigner,zb_group,zb_free,zb_total,tp_paid,tp_adult,tp_teen,tp_child,tp_foreigner,tp_group,tp_free,tp_total,date_fri,date_thur,date_wed,date_mon,date_sun,date_sat,date_tue,fall,spring,summer,winter,break_summer,break_winter,when,temp,rain,wind,humid,cloud,강수 계속시간(hr),10분 최다 강수량(mm),1시간 최다강수량(mm),일강수량(mm),cloud_w,temp_w,humid_w,wind_w
0,3359,1023,4382,47,3339,2782,141,416,47,0,999,4338,20,17,0,3,0,0,24,44,1,0,0,0,0,0,0,0,0,0,1,0,1,2016-01-01,1.2,0.0,1.6,73.0,7.0,0.0,0.0,0.0,0.0,3,1,5,1
1,5173,2092,7265,100,5127,4328,203,596,100,111,2044,7171,46,42,0,4,0,0,48,94,0,0,0,0,0,1,0,0,0,0,1,0,1,2016-01-02,5.7,0.0,2.0,76.9,7.8,0.0,0.0,0.0,0.0,3,2,5,1
2,3008,1549,4557,91,2940,2505,128,307,91,0,1522,4462,68,66,0,2,0,0,27,95,0,0,0,0,1,0,0,0,0,0,1,0,1,2016-01-03,6.5,0.0,1.8,80.6,7.5,0.0,0.0,0.0,0.0,3,2,5,1
3,890,800,1690,51,886,598,53,235,51,223,794,1680,4,4,0,0,0,0,6,10,0,0,0,1,0,0,0,0,0,0,1,0,1,2016-01-04,2.0,0.0,3.1,54.4,4.4,0.0,0.0,0.0,0.0,2,1,4,2
4,416,840,1256,43,414,318,35,61,43,47,821,1235,2,1,0,1,0,0,19,21,0,0,0,0,0,0,1,0,0,0,1,0,1,2016-01-05,-2.7,0.0,2.3,39.4,3.4,0.0,0.0,0.0,0.0,2,1,2,1
5,367,807,1174,34,364,274,41,49,34,0,791,1155,3,3,0,0,0,0,16,19,0,0,1,0,0,0,0,0,0,0,1,0,1,2016-01-06,-1.7,0.0,1.8,54.3,6.0,0.0,0.0,0.0,0.0,3,1,4,1
6,309,735,1044,13,300,241,23,36,13,0,729,1029,9,9,0,0,0,0,6,15,0,1,0,0,0,0,0,0,0,0,1,0,1,2016-01-07,-3.4,0.0,2.5,51.8,0.3,0.0,0.0,0.0,0.0,1,1,3,1
7,315,611,926,30,312,249,27,36,30,0,602,914,3,2,1,0,0,0,9,12,1,0,0,0,0,0,0,0,0,0,1,0,1,2016-01-08,-3.3,0.0,2.0,49.8,0.5,0.0,0.0,0.0,0.0,1,1,3,1
8,1418,1222,2640,47,1405,1214,78,113,47,80,1198,2603,13,13,0,0,0,0,24,37,0,0,0,0,0,1,0,0,0,0,1,0,1,2016-01-09,-2.1,0.0,2.1,57.1,4.1,0.0,0.0,0.0,0.0,2,1,4,1
9,2211,1393,3604,34,2173,1804,96,273,34,61,1377,3550,38,35,0,3,0,0,16,54,0,0,0,0,1,0,0,0,0,0,1,0,1,2016-01-10,0.3,0.0,2.6,42.3,2.6,0.0,0.0,0.0,0.0,1,1,3,1
10,368,628,996,23,366,266,40,60,23,0,608,974,2,2,0,0,0,0,20,22,0,0,0,1,0,0,0,0,0,0,1,0,1,2016-01-11,-3.8,0.0,2.8,38.3,1.1,0.0,0.0,0.0,0.0,1,1,2,1
11,862,780,1642,12,860,530,27,303,10,614,749,1609,2,1,0,1,2,0,31,33,0,0,0,0,0,0,1,0,0,0,1,0,1,2016-01-12,-5.2,0.0,2.5,46.0,0.5,0.0,0.0,0.0,0.0,1,1,3,1
12,240,767,1007,24,240,192,21,27,24,0,742,982,0,0,0,0,0,0,25,25,0,0,1,0,0,0,0,0,0,0,1,0,1,2016-01-13,-4.5,0.4,2.0,63.0,5.5,3.42,0.0,0.0,0.4,2,1,5,1
13,252,620,872,13,245,196,35,14,9,5,616,861,7,4,2,1,4,0,4,11,0,1,0,0,0,0,0,0,0,0,1,0,1,2016-01-14,-3.4,0.0,1.7,52.1,4.0,2.1,0.0,0.0,0.0,2,1,4,1
