,m_paid,m_free,m_total,m_foreigner,zb_paid,zb_adult,zb_teen,zb_child,zb_foreigner,zb_group,zb_free,zb_total,tp_paid,tp_adult,tp_teen,tp_child,tp_foreigner,tp_group,tp_free,tp_total,date_fri,date_thur,date_wed,date_mon,date_sun,date_sat,date_tue,fall,spring,summer,winter,break_summer,when,temp,rain,wind,humid,cloud,강수 계속시간(hr),10분 최다 강수량(mm),1시간 최다강수량(mm),일강수량(mm),cloud_w,temp_w,humid_w,wind_w
0,0,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2017-03-28,7.1,0.0,1.9,59.8,6.4,0.0,0.0,0.0,0.0,3,2,4,1
1,0,7,7,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2017-03-29,8.8,0.0,2.3,54.9,4.3,0.0,0.0,0.0,0.0,2,3,4,1
2,1302,1067,2369,96,1258,1146,13,99,90,115,1024,2282,44,41,0,3,6,0,43,87,0,1,0,0,0,0,0,0,1,0,0,0,2017-03-30,10.6,0.0,1.9,50.0,4.9,0.0,0.0,0.0,0.0,2,3,3,1
3,727,572,1299,41,723,382,328,13,41,270,559,1282,4,4,0,0,0,0,13,17,1,0,0,0,0,0,0,0,1,0,0,0,2017-03-31,8.6,1.5,2.4,70.6,8.3,9.17,0.0,0.0,1.5,3,3,5,1
4,13317,3753,17070,100,12768,11155,204,1409,84,30,3449,16217,549,503,0,46,16,0,304,853,0,0,0,0,0,1,0,0,1,0,0,0,2017-04-01,9.0,1.0,2.1,60.5,4.8,0.67,1.0,1.0,1.0,2,3,5,1
5,22166,10291,32457,164,21053,18128,414,2511,134,0,9598,30651,1113,979,9,125,30,0,693,1806,0,0,0,0,1,0,0,0,1,0,0,0,2017-04-02,9.0,0.0,2.1,53.1,0.9,0.0,0.0,0.0,0.0,1,3,4,1
6,1960,1072,3032,27,1894,1815,18,61,27,0,1015,2909,66,63,0,3,0,0,57,123,0,0,0,1,0,0,0,0,1,0,0,0,2017-04-03,11.4,0.0,2.1,45.6,0.0,0.0,0.0,0.0,0.0,1,4,3,1
7,2199,1377,3576,97,2139,2000,68,71,89,260,1296,3435,60,54,0,6,8,0,81,141,0,0,0,0,0,0,1,0,1,0,0,0,2017-04-04,14.1,0.0,2.0,35.3,4.0,0.0,0.0,0.0,0.0,2,4,2,1
8,459,608,1067,17,457,342,105,10,17,190,593,1050,2,2,0,0,0,0,15,17,0,0,1,0,0,0,0,0,1,0,0,0,2017-04-05,12.0,37.5,2.4,66.0,9.9,15.5,2.5,8.5,37.5,4,4,5,1
9,702,901,1603,14,695,580,85,30,13,138,861,1556,7,7,0,0,1,0,40,47,0,1,0,0,0,0,0,0,1,0,0,0,2017-04-06,10.4,3.0,2.4,90.0,9.6,9.17,0.5,2.0,3.0,4,3,5,1
