,m_paid,m_free,m_total,m_foreigner,zb_paid,zb_adult,zb_teen,zb_child,zb_foreigner,zb_group,zb_free,zb_total,tp_paid,tp_adult,tp_teen,tp_child,tp_foreigner,tp_group,tp_free,tp_total,date_fri,date_thur,date_wed,date_mon,date_sun,date_sat,date_tue,fall,spring,summer,winter,break_summer,break_winter,break_summer.1,break_winter.1,when,temp,rain,wind,humid,cloud,강수 계속시간(hr),10분 최다 강수량(mm),1시간 최다강수량(mm),일강수량(mm),cloud_w,temp_w,humid_w,wind_w
0,1688,628,2316,40,1683,1375,99,209,40,0,619,2302,5,5,0,0,0,0,9,14,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,2018-01-01,-1.3,0.0,1.4,39.1,1.0,0.0,0.0,0.0,0.0,1,1,2,1
1,403,585,988,22,401,342,15,44,22,119,578,979,2,2,0,0,0,0,7,9,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,2018-01-02,-1.8,0.0,1.8,42.0,2.3,0.0,0.0,0.0,0.0,1,1,3,1
2,192,502,694,4,191,153,22,16,4,0,502,693,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,2018-01-03,-4.7,0.0,2.2,42.3,3.6,0.0,0.0,0.0,0.0,2,1,3,1
3,165,506,671,14,163,132,9,22,14,1,488,651,2,2,0,0,0,0,18,20,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,2018-01-04,-4.7,0.0,1.4,43.0,6.5,0.0,0.0,0.0,0.0,3,1,3,1
4,189,569,758,8,188,145,12,31,8,0,567,755,1,1,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2018-01-05,-3.0,0.0,1.7,48.4,3.6,0.0,0.0,0.0,0.0,2,1,3,1
5,968,967,1935,25,953,821,32,100,25,0,955,1908,15,15,0,0,0,0,12,27,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,2018-01-06,-2.8,0.0,1.5,45.8,0.0,0.0,0.0,0.0,0.0,1,1,3,1
6,922,959,1881,20,911,740,61,110,19,0,941,1852,11,9,0,2,1,0,18,29,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,2018-01-07,-0.8,0.0,0.8,42.1,7.5,0.0,0.0,0.0,0.0,3,1,3,0
7,193,441,634,13,188,146,13,29,13,0,432,620,5,4,0,1,0,0,9,14,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,2018-01-08,1.3,0.9,1.8,51.9,9.0,4.5,0.0,0.0,0.9,4,1,3,1
8,115,408,523,13,112,92,6,14,13,0,398,510,3,2,0,1,0,0,10,13,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,2018-01-09,-4.2,0.5,2.9,59.4,3.5,5.58,0.0,0.0,0.5,2,1,4,1
9,70,312,382,6,70,56,7,7,6,0,307,377,0,0,0,0,0,0,5,5,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,2018-01-10,-7.5,0.3,3.0,52.0,0.9,2.08,0.0,0.0,0.3,1,1,4,2
10,43,269,312,0,41,32,8,1,0,0,255,296,2,2,0,0,0,0,14,16,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,2018-01-11,-11.1,0.0,2.8,49.8,0.4,0.0,0.0,0.0,0.0,1,1,3,1
11,52,176,228,15,52,45,5,2,15,0,176,228,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2018-01-12,-10.2,0.0,1.7,35.4,2.3,2.08,0.0,0.0,0.0,1,1,2,1
12,350,665,1015,3,346,295,18,33,3,0,663,1009,4,2,0,2,0,0,2,6,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,2018-01-13,-4.4,0.4,0.8,67.3,8.3,7.83,0.0,0.0,0.4,3,1,5,0
13,839,815,1654,2,832,706,32,94,2,0,805,1637,7,7,0,0,0,0,10,17,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,2018-01-14,0.6,0.0,1.2,64.1,7.0,0.0,0.0,0.0,0.0,3,1,5,1
14,225,420,645,14,215,165,31,19,14,0,415,630,10,7,0,3,0,0,5,15,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,2018-01-15,4.7,0.2,1.4,63.9,7.6,1.25,0.0,0.0,0.2,3,2,5,1
