,m_paid,m_free,m_total,m_foreigner,zb_paid,zb_adult,zb_teen,zb_child,zb_foreigner,zb_group,zb_free,zb_total,tp_paid,tp_adult,tp_teen,tp_child,tp_foreigner,tp_group,tp_free,tp_total,date_fri,date_thur,date_wed,date_mon,date_sun,date_sat,date_tue,spring,winter,break_winter,when,temp,rain,wind,humid,cloud,강수 계속시간(hr),10분 최다 강수량(mm),1시간 최다강수량(mm),일강수량(mm),cloud_w,temp_w,humid_w,wind_w
0,919,605,1524,54,912,770,48,94,54,0,581,1493,7,6,0,1,0,0,24,31,0,0,0,0,0,0,1,0,1,1,2019-01-01,-5.0,0.0,2.1,49.5,3.4,0.0,0.0,0.0,0.0,2,1,3,1
1,175,459,634,11,175,147,14,14,11,0,446,621,0,0,0,0,0,0,13,13,0,0,1,0,0,0,0,0,1,1,2019-01-02,-4.9,0.0,1.7,42.8,0.0,0.0,0.0,0.0,0.0,1,1,3,1
2,182,595,777,16,182,153,8,21,16,0,579,761,0,0,0,0,0,0,16,16,0,1,0,0,0,0,0,0,1,1,2019-01-03,-3.5,0.0,1.4,38.8,0.1,0.0,0.0,0.0,0.0,1,1,2,1
3,181,509,690,3,176,139,14,23,3,0,484,660,5,5,0,0,0,0,25,30,1,0,0,0,0,0,0,0,1,1,2019-01-04,-1.1,0.0,1.2,55.5,5.5,0.0,0.0,0.0,0.0,2,1,4,1
4,740,861,1601,16,734,615,32,87,16,0,842,1576,6,6,0,0,0,0,19,25,0,0,0,0,0,1,0,0,1,1,2019-01-05,-2.8,0.0,2.2,40.3,0.5,0.0,0.0,0.0,0.0,1,1,2,1
5,1013,1044,2057,17,991,821,34,136,17,0,1023,2014,22,21,0,1,0,0,21,43,0,0,0,0,1,0,0,0,1,1,2019-01-06,-2.8,0.0,1.2,35.0,3.1,0.0,0.0,0.0,0.0,2,1,2,1
6,213,560,773,26,209,154,8,47,26,0,550,759,4,4,0,0,0,0,10,14,0,0,0,1,0,0,0,0,1,1,2019-01-07,-1.9,0.0,1.4,46.4,4.0,0.0,0.0,0.0,0.0,2,1,3,1
7,152,652,804,5,147,123,9,15,5,0,642,789,5,2,3,0,0,0,10,15,0,0,0,0,0,0,1,0,1,1,2019-01-08,-3.5,0.0,2.6,31.0,0.0,0.0,0.0,0.0,0.0,1,1,2,1
8,100,429,529,7,100,82,10,8,7,0,417,517,0,0,0,0,0,0,12,12,0,0,1,0,0,0,0,0,1,1,2019-01-09,-4.7,0.0,1.3,28.8,4.9,0.0,0.0,0.0,0.0,2,1,1,1
9,203,636,839,16,201,158,19,24,16,31,614,815,2,1,0,1,0,0,22,24,0,1,0,0,0,0,0,0,1,1,2019-01-10,-0.6,0.0,1.3,48.8,8.1,0.0,0.0,0.0,0.0,3,1,3,1
10,248,566,814,29,246,196,26,24,29,0,541,787,2,2,0,0,0,0,25,27,1,0,0,0,0,0,0,0,1,1,2019-01-11,2.4,0.0,1.0,58.8,6.1,0.0,0.0,0.0,0.0,3,1,4,1
11,839,1016,1855,5,837,711,42,84,5,30,1003,1840,2,2,0,0,0,0,13,15,0,0,0,0,0,1,0,0,1,1,2019-01-12,2.8,0.0,1.3,47.6,3.9,0.0,0.0,0.0,0.0,2,1,3,1
